postcode,lat,lon,sub_category
CA20 1DH,54.440387,-3.479675,TRAD_TO_SMART_MEX
ML2 0PP,55.765173,-3.935108,TRAD_TO_SMART_MEX
KY11 8SX,56.050515,-3.414501,SMART_TO_SMART_MEX
EX21 5NE,50.836849,-4.150678,TRAD_TO_SMART_MEX
BR1 4LL,51.42405,-0.011688,SMART_TO_SMART_MEX
AB53 6TU,57.540038,-2.186983,TRAD_TO_SMART_MEX
HG2 7AJ,53.988342,-1.500714,TRAD_TO_SMART_MEX
BL1 5DE,53.577671,-2.476591,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
AB22 8ZA,57.183574,-2.140909,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SN4 0HL,51.532156,-1.702168,SMART_TO_SMART_MEX
CR0 8PG,51.3709,-0.043071,TRAD_TO_SMART_MEX
CO16 0FH,51.854027,1.176331,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
HU11 4EB,53.781622,-0.244381,SMART_TO_SMART_MEX
YO23 3UF,53.917787,-1.140818,NEW_CONNECTION
W6 8RH,51.490107,-0.216609,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
IG6 2RP,51.60665,0.078383,SMART_TO_SMART_MEX
BS32 4BW,51.545769,-2.584334,SMART_TO_SMART_MEX
SO43 7BF,50.87204,-1.574342,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
KT6 5HB,51.383063,-0.31221,SMART_TO_SMART_MEX
EN8 8NS,51.701672,-0.036215,TRACE_AND_LABEL
SA4 4XB,51.669925,-4.052634,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PH1 3NJ,56.417127,-3.517236,SMART_TO_SMART_MEX
S6 1WD,53.413242,-1.509031,SMART_TO_SMART_MEX
WF2 8PL,53.669286,-1.506468,NEW_CONNECTION
BR6 0HF,51.378263,0.102951,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
BL5 3TR,53.552362,-2.525361,SMART_TO_SMART_MEX
PO31 8EG,50.760247,-1.321044,SMART_TO_SMART_MEX
BR3 5FE,51.407992,-0.003958,TRACE_AND_LABEL
OX2 9PX,51.73798,-1.31961,NEW_CONNECTION
NN9 5HJ,52.320485,-0.629553,TRAD_TO_SMART_MEX
YO8 4DA,53.787633,-1.083,TRAD_TO_SMART_MEX
